City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saudarkrokur,65.7461,-19.6394,10.160000000000025,71,94,2.77,IS,1724774399
1,casa grande,32.8795,-111.7573,32.77000000000004,35,54,2.68,US,1724774400
2,bom jardim,-7.7958,-35.5872,27.939999999999998,54,41,7.39,BR,1724774401
3,adamstown,-25.066,-130.1015,19.700000000000045,68,100,9.37,PN,1724774402
4,ribeira grande,38.5167,-28.7,27.220000000000027,47,20,3.09,PT,1724774403
5,el nido,11.1858,119.3956,28.410000000000025,77,99,0.89,PH,1724774404
6,lihue,21.9789,-159.3672,24.640000000000043,89,37,5.28,US,1724774405
7,marka,1.7159,44.7717,25.600000000000023,84,53,5.35,SO,1724774407
8,klyuchi,52.2667,79.1667,16.79000000000002,62,92,2.43,RU,1724774408
9,thompson,55.7435,-97.8558,13.090000000000032,67,20,2.06,CA,1724774273
10,port alfred,-33.5906,26.891,19.54000000000002,70,0,3.13,ZA,1724774410
11,alotau,-10.3069,150.4462,21.890000000000043,95,92,1.45,PG,1724774411
12,edinburgh of the seven seas,-37.0676,-12.3116,10.629999999999995,69,100,8.97,SH,1724774412
13,olonkinbyen,70.9221,-8.7187,3.2100000000000364,85,96,2.22,SJ,1724774413
14,waitangi,-43.9535,-176.5597,11.57000000000005,98,100,4.02,NZ,1724774414
15,bardai,11.65,7.2333,26.670000000000016,73,92,5.07,NG,1724774415
16,yellowknife,62.456,-114.3525,17.450000000000045,85,75,4.63,CA,1724774416
17,ilulissat,69.2167,-51.1,2.8000000000000114,92,100,2.13,GL,1724774417
18,albany,42.6001,-73.9662,26.350000000000023,69,0,0.89,US,1724774260
19,puerto carreno,6.189,-67.4859,26.99000000000001,83,40,3.09,CO,1724774419
20,camabatela,-8.1881,15.375,31.210000000000036,11,21,3.02,AO,1724774420
21,salalah,17.0151,54.0924,25.090000000000032,93,100,1.98,OM,1724774421
22,sao gabriel da cachoeira,-0.1303,-67.0892,25.890000000000043,78,40,1.54,BR,1724774422
23,port elizabeth,-33.918,25.5701,16.29000000000002,84,20,12.35,ZA,1724774423
24,quellon,-43.1167,-73.6167,8.129999999999995,72,79,1.38,CL,1724774424
25,crane,31.3974,-102.3501,27.150000000000034,51,0,1.95,US,1724774425
26,grytviken,-54.2811,-36.5092,4.240000000000009,80,100,3.98,GS,1724774426
27,fort bragg,35.139,-79.006,31.850000000000023,53,0,1.79,US,1724774194
28,qaqortoq,60.7167,-46.0333,6.060000000000002,72,83,2.02,GL,1724774430
29,yarmouth,41.7057,-70.2286,25.189999999999998,81,0,2.24,US,1724774431
30,srandakan,-7.9386,110.2506,22.24000000000001,89,88,1.75,ID,1724774432
31,hauterive,46.0901,3.4459,27.170000000000016,42,58,2.19,FR,1724774433
32,chernomorskoye,45.5039,32.6997,24.439999999999998,62,97,6.14,UA,1724774434
33,east rochester,43.1087,-77.4875,30.189999999999998,61,40,2.57,US,1724774435
34,port-aux-francais,-49.35,70.2167,3.2200000000000273,76,6,9.41,TF,1724774436
35,tazacorte,28.629,-17.9293,26.189999999999998,82,75,5.14,ES,1724774437
36,luanda,-8.8368,13.2343,23.0,73,75,3.6,AO,1724774438
37,novyy urengoy,66.0833,76.6333,15.350000000000023,86,100,3.9,RU,1724774439
38,iqaluit,63.7506,-68.5145,5.850000000000023,93,100,2.57,CA,1724774415
39,avarua,-21.2078,-159.775,23.03000000000003,88,100,10.8,CK,1724774441
40,bilibino,68.0546,166.4372,5.430000000000007,93,100,1.88,RU,1724774442
41,samana,19.2056,-69.3369,31.120000000000005,74,40,2.06,DO,1724774443
42,papatowai,-46.5619,169.4708,8.140000000000043,95,37,1.92,NZ,1724774444
43,udachny,66.4167,112.4,8.980000000000018,71,85,1.24,RU,1724774445
44,bethel,41.3712,-73.414,28.420000000000016,63,1,0.45,US,1724774446
45,xianning,29.8833,114.2167,23.870000000000005,83,24,2.15,CN,1724774447
46,blackmans bay,-43.0167,147.3167,7.07000000000005,90,100,0.45,AU,1724774448
47,tiksi,71.6872,128.8694,2.1200000000000045,87,100,2.89,RU,1724774452
48,nantucket,41.2835,-70.0995,20.060000000000002,94,75,3.09,US,1724774450
49,santo antonio do ica,-3.1022,-67.9397,32.200000000000045,37,3,1.79,BR,1724774455
50,puerto natales,-51.7236,-72.4875,7.25,53,75,5.14,CL,1724774456
51,choloma,15.6144,-87.953,28.950000000000045,79,20,0.0,HN,1724774457
52,cabo san lucas,22.8909,-109.9124,29.74000000000001,59,3,0.65,MX,1724774272
53,serhetabat,35.2799,62.3438,29.79000000000002,16,0,3.92,TM,1724774459
54,twon-brass,4.3151,6.2418,26.620000000000005,81,74,6.03,NG,1724774460
55,utrik,11.2278,169.8474,28.52000000000004,80,98,7.72,MH,1724774461
56,vorgashor,67.5833,63.95,16.28000000000003,56,97,3.01,RU,1724774462
57,tazovsky,67.4667,78.7,12.450000000000045,91,51,2.09,RU,1724774463
58,natal,-5.795,-35.2094,30.120000000000005,51,40,9.26,BR,1724774357
59,villers-saint-paul,49.2888,2.4897,27.390000000000043,35,2,2.87,FR,1724774465
60,port saint john's,-31.6229,29.5448,26.760000000000048,38,0,2.73,ZA,1724774466
61,ghat,24.9647,10.1728,38.03000000000003,12,2,3.26,LY,1724774467
62,maturin,9.75,-63.1767,30.910000000000025,89,52,2.06,VE,1724774468
63,bredasdorp,-34.5322,20.0403,8.610000000000014,82,100,12.22,ZA,1724774469
64,waslala,13.2333,-85.3833,29.950000000000045,62,18,1.69,NI,1724774470
65,constantia,44.1833,28.65,24.379999999999995,55,97,3.17,RO,1724774471
66,georgetown,5.4112,100.3354,24.970000000000027,87,40,5.14,MY,1724774419
67,atafu village,-8.5421,-172.5159,27.75,77,78,4.87,TK,1724774473
68,mugia,43.1041,-9.2179,20.510000000000048,70,2,3.31,ES,1724774474
69,figline valdarno,43.6195,11.4693,23.120000000000005,82,93,0.89,IT,1724774476
70,ulladulla,-35.35,150.4667,18.960000000000036,40,78,5.51,AU,1724774477
71,cukurca,37.2481,43.6136,23.83000000000004,23,3,2.22,TR,1724774478
72,sinan,34.8262,126.1086,24.700000000000045,85,100,6.68,KR,1724774479
73,nemuro,43.3236,145.575,19.890000000000043,98,100,12.05,JP,1724774480
74,punta arenas,-53.15,-70.9167,6.060000000000002,75,40,6.17,CL,1724774481
